Linie;KM;Abkuerzung Bahnhof;Haltestellen Name;Perrontyp;Perron Nummer;Kundengleis Nr.;Perronkantenlänge;Perronkantenhöhe;Bemerkung Höhe;Hilfstritt;Höhenverlauf;Material;Bemerkung Material;Kantenart;Bemerkung Kantenkrone;Auftritt;ErfMandant;FID;1_koord;2_koord;BPUIC;lod
210;104.379;BI;Biel/Bienne;Mittelperron;6/7;6;24.3;P 55;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Andere;SBB;239469714;47.1329642769, 7.24119289879;47.133060808,7.24090554123;8504300;http://lod.opentransportdata.swiss/didok/8504300
210;104.38;BI;Biel/Bienne;Mittelperron;6/7;;12.0;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Beton;SBB;251982260;47.1329281268, 7.2411721808;47.1328700072,7.24130546962;8504300;http://lod.opentransportdata.swiss/didok/8504300
219;18.047;NOI;Noiraigue;Hilfskante;3;3;121.43;P 20;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Elements prefabriques;Kein;SBB;35332140;46.9546318692, 6.72254388313;46.9548540622,6.7209832041;8504216;http://lod.opentransportdata.swiss/didok/8504216
219;18.049;NOI;Noiraigue;Hilfskante;2;2;120.39;P 20;;nicht vorhanden;Karrenueberfahrten;Ortsbeton;;Andere;Elements prefabriques;Kein;SBB;35371618;46.9546607, 6.72253671907;46.9548801959,6.72098919974;8504216;http://lod.opentransportdata.swiss/didok/8504216
219;29.434;BOV;Boveresse;Hausperron;1;;96.24;P 20;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Kein;SBB;35346599;46.9192371022, 6.59576182177;46.9187364574,6.59473103988;8504213;http://lod.opentransportdata.swiss/didok/8504213
220;-0.026;BN;Bern;Mittelperron;12/13;12;24.58;P 55;;nicht vorhanden;konstant;Ortsbeton;;Naturstein;;Beton;SBB;35354369;46.950409865, 7.43951763857;46.9502116382,7.43937493032;8507000;http://lod.opentransportdata.swiss/didok/8507000
220;0.259;BN;Bern;Mittelperron;12/13;13;204.96;P 55;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;266737931;46.9489066227, 7.4365272056;46.9498554899,7.43881418982;8507000;http://lod.opentransportdata.swiss/didok/8507000
220;0.331;BN;Bern;Mittelperron;12/13;13;72.55;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;SBB;266737918;46.9487105721, 7.43562028654;46.9489066227,7.4365272056;8507000;http://lod.opentransportdata.swiss/didok/8507000
220;3.294;BNST;Bern Stockacker;Aussenperron;2;2;190.12;P 35;;nicht vorhanden;konstant;Fertigelement;;Beton;;Kein;BLS;35361914;46.9464259621, 7.40136192751;46.9464825718,7.3988660934;8504495;http://lod.opentransportdata.swiss/didok/8504495
220;8.345;RCH;Riedbach;Aussenperron;2;2;209.25;P 30;;nicht vorhanden;auslaufend;Fertigelement;;Naturstein;;Kein;BLS;35326346;46.9415352662, 7.33593944512;46.9411756917,7.33324177936;8504488;http://lod.opentransportdata.swiss/didok/8504488
